stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,jurisdiction_id,location_type,parent_station,relative_position,cardinal_direction,wheelchair_boarding,primary_street,address_range,cross_location
100,0100,University at N Park,This stop (#0100) is westbound on the 900 block of University after N Park,43.073399,-89.401365,MMT,CMAD,0,,1,270,1,University,900,N Park
107,0107,S Park at W Olin,This stop (#0107) is northbound on the 1117 block of S Park after W Olin,43.054383,-89.396533,MMT,CMAD,0,,1,0,1,S Park,1117,W Olin
115,0115,N Park at Regent,This stop (#0115) is northbound on the 21 block of N Park after Regent,43.067983,-89.400724,MMT,CMAD,0,,1,0,1,N Park,21,Regent
120,0120,S Park at Wingra,This stop (#0120) is southbound on the 1698 block of S Park before Wingra,43.049369,-89.394301,MMT,CMAD,0,,3,180,0,S Park,1698,Wingra
121,0121,W Badger at Fiedler,This stop (#0121) is eastbound on the 1099 block of W Badger after Fiedler,43.038466,-89.401117,MMT,CMAD,0,,1,90,1,W Badger,1099,Fiedler
133,0133,University at N Breese,This stop (#0133) is eastbound on the 1599 block of University after N Breese,43.073275,-89.413154,MMT,CMAD,0,,1,90,1,University,1599,N Breese
139,0139,N Randall at Regent,This stop (#0139) is northbound on the 1 block of N Randall after Regent,43.068038,-89.408834,MMT,CMAD,0,,1,0,1,N Randall,1,Regent
144,0144,W Badger at Colonial Heights,This stop (#0144) is westbound on the 640 block of W Badger adjacent Colonial Heights,43.038545,-89.390641,MMT,CMAD,0,,2,270,1,W Badger,640,Colonial Heights
145,0145,W Johnson at State,This stop (#0145) is eastbound on the 199 block of W Johnson after State,43.07491,-89.389575,MMT,CMAD,0,,1,90,1,W Johnson,199,State
146,0146,Fish Hatchery at Midland,This stop (#0146) is southbound on the 1200 block of Fish Hatchery after Midland,43.053981,-89.399186,MMT,CMAD,0,,1,180,1,Fish Hatchery,1200,Midland
147,0147,W Olin at Hickory,This stop (#0147) is eastbound on the 599 block of W Olin after Hickory,43.053872,-89.391782,MMT,CMAD,0,,1,90,1,W Olin,599,Hickory
153,0153,E Olin at Quann,This stop (#0153) is eastbound on the 199 block of E Olin after Quann,43.052132,-89.38075,MMT,CMAD,0,,1,90,1,E Olin,199,Quann
160,0160,University at N Randall,This stop (#0160) is westbound on the 1400 block of University after N Randall,43.073481,-89.409413,MMT,CMAD,0,,1,270,1,University,1400,N Randall
161,0161,S Broom at W Doty,This stop (#0161) is northbound on the 199 block of S Broom after W Doty,43.070146,-89.387071,MMT,CMAD,0,,1,0,1,S Broom,199,W Doty
162,0162,S Park at Meriter,This stop (#0162) is southbound on the 100 block of S Park adjacent Meriter,43.065091,-89.400997,MMT,CMAD,0,,2,180,1,S Park,100,Meriter
166,0166,Rimrock at John Nolen,This stop (#0166) is westbound on the 2000 block of Rimrock after John Nolen,43.04649,-89.374805,MMT,CMAD,0,,1,270,0,Rimrock,2000,John Nolen
173,0173,W Badger at Cypress,This stop (#0173) is eastbound on the 901 block of W Badger before Cypress,43.03843,-89.397946,MMT,CMAD,0,,3,90,1,W Badger,901,Cypress
174,0174,S Park at Fish Hatchery,This stop (#0174) is southbound on the 1000 block of S Park after Fish Hatchery,43.056451,-89.398716,MMT,CMAD,0,,1,180,1,S Park,1000,Fish Hatchery
178,0178,University at N Orchard,This stop (#0178) is westbound on the 1300 block of University after N Orchard,43.073427,-89.407056,MMT,CMAD,0,,1,270,1,University,1300,N Orchard
181,0181,S Park at Cedar,This stop (#0181) is northbound on the 1399 block of S Park after Cedar,43.052252,-89.394806,MMT,CMAD,0,,1,0,1,S Park,1399,Cedar
182,0182,N Park at W Dayton,This stop (#0182) is southbound on the 198 block of N Park after W Dayton,43.070687,-89.401094,MMT,CMAD,0,,1,180,1,N Park,198,W Dayton
184,0184,Linden at Henry,This stop (#0184) is westbound on the 1498 block of Linden before Henry,43.075254,-89.410413,MMT,UWIS,0,,3,270,1,Linden,1498,Henry
